tile_id,category,lon,lat,epsg,x0,y0,x1,y1,smod_code,crop_frac,built_frac,open_frac,water_frac
32642_257_1176,open_land,70.6011163481458,27.20926034727606,32642,657920,3010560,660480,3013120,11,0.0927,0.0004,0.8701,0
32642_264_1153,open_land,70.78606724720406,26.693809122084787,32642,675840,2951680,678400,2954240,11,0.0387,0,0.7467,0
32644_88_1443,open_land,78.07466237426945,33.359631931584914,32644,225280,3694080,227840,3696640,11,0,0,0.7024,0
32643_299_1482,open_land,77.89832669532422,34.27080211157428,32643,765440,3793920,768000,3796480,11,0,0,0.9996,0
32644_95_1387,open_land,78.29399316425547,32.07275361466234,32644,243200,3550720,245760,3553280,11,0,0,0.9824,0
32643_262_1466,open_land,76.85424126771025,33.91457583651892,32643,670720,3752960,673280,3755520,11,0,0,0.9845,0.0008
32643_260_1461,open_land,76.8085282814591,33.79306638488608,32643,665600,3740160,668160,3742720,11,0,0,0.9825,0.0155
32644_85_1419,open_land,78.00253346174198,32.806019278443486,32644,217600,3632640,220160,3635200,11,0,0,0.9702,0.0178
32643_144_1242,open_land,73.67785684642308,28.752636721140004,32643,368640,3179520,371200,3182080,11,0,0,0.8188,0
32643_110_1211,open_land,72.8027690274965,28.022305226437442,32643,281600,3100160,284160,3102720,11,0.1163,0,0.882,0
32643_290_1439,open_land,77.62980005418635,33.28170048519817,32643,742400,3683840,744960,3686400,11,0,0,1,0
32643_278_1352,open_land,77.23107759096133,31.28159371257463,32643,711680,3461120,714240,3463680,11,0.0009,0.0002,0.7441,0
32643_173_770,open_land,74.47774802148383,17.843058790024998,32643,442880,1971200,445440,1973760,11,0.1379,0.0019,0.7332,0
32643_268_1463,open_land,77.03430669286699,33.83645514049374,32643,686080,3745280,688640,3747840,11,0,0,0.9924,0.0061
32642_240_1190,open_land,70.16229146785436,27.5392842560566,32642,614400,3046400,616960,3048960,11,0,0.002,0.9367,0
32643_258_1391,open_land,76.70522026886361,32.18475487471638,32643,660480,3560960,663040,3563520,11,0,0,0.7555,0.0031
32643_288_1443,open_land,77.57745595360187,33.3682926044509,32643,737280,3694080,739840,3696640,11,0,0,0.9954,0
32643_101_1234,open_land,72.54014052111167,28.54863108042679,32643,258560,3159040,261120,3161600,11,0.0999,0.0002,0.8839,0
32643_181_1496,open_land,74.60561624725158,34.61017984700397,32643,463360,3829760,465920,3832320,11,0,0,0.7809,0.0088
32644_97_1467,open_land,78.28794277354233,33.91457583651892,32644,248320,3755520,250880,3758080,11,0,0,0.9675,0.0232
32644_167_1047,open_land,80.28602973156119,24.255003390419912,32644,427520,2680320,430080,2682880,11,0.0024,0,0.8987,0
32643_143_1246,open_land,73.65023437967996,28.83768356337766,32643,366080,3189760,368640,3192320,11,0,0,0.9831,0
